"Login Page","Login Page"
"CMS Page","CMS Page"
"Invalid CMS page configured as a redirect landing page.","Invalid CMS page configured as a redirect landing page."
"MageArray Extensions","MageArray Extensions"
"Catalog Login","Catalog Login"
"Enable Extension","Enable Extension"
"Hide Category Navigation","Hide Category Navigation"
"Redirect to login from any page","Redirect to login from any page"
"Do redirect on Category Pages","Do redirect on Category Pages"
"Do redirect on Product View Pages","Do redirect on Product View Pages"
"Do redirect on Catalog Search Pages","Do redirect on Catalog Search Pages"
"Message when a customer is redirected","Message when a customer is redirected"
"Redirect to","Redirect to"
"Target CMS Page","Target CMS Page"
"Disable on routes","Disable on routes"
