button_label,button_label
"Select Option","Select Option"
"Hide Price","Hide Price"
"Hide Catalog","Hide Catalog"
No,No
Optional,Optional
Required,Required
"Select Existing Website","Select Existing Website"
"Create New Website","Create New Website"
"Select Store or Website","Select Store or Website"
"Wholesale Store","Wholesale Store"
"Wholesale Website","Wholesale Website"
Loading...,Loading...
"* Required Fields","* Required Fields"
"Account Information","Account Information"
"File Upload","File Upload"
"Change Email","Change Email"
"Change Password","Change Password"
"Change Email and Password","Change Email and Password"
Email,Email
"Current Password","Current Password"
"New Password","New Password"
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm New Password","Confirm New Password"
Save,Save
"Go back","Go back"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Tax/VAT number","Tax/VAT number"
"Address Information","Address Information"
Company,Company
"Phone Number","Phone Number"
"Street Address","Street Address"
Address,Address
"Street Address %1","Street Address %1"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"Sign-in Information","Sign-in Information"
Password,Password
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
Back,Back
"Register as Wholesaler","Register as Wholesaler"
"MageArray Extensions","MageArray Extensions"
"Wholesale - B2B","Wholesale - B2B"
"Activate Script","Activate Script"
"Wholesale Type","Wholesale Type"
"Select Wholesale Website","Select Wholesale Website"
"Create Now!","Create Now!"
"Hide Price/Catalog","Hide Price/Catalog"
"Customer Activation","Customer Activation"
"Show Address Fields In Registration Form?","Show Address Fields In Registration Form?"
"Show Tax/VAT Number In Registration Form?","Show Tax/VAT Number In Registration Form?"
"Wholesale Customer Group","Wholesale Customer Group"
"Do you want to add file upload field in wholesale registration?","Do you want to add file upload field in wholesale registration?"
